,count,mean,std,min,25%,50%,75%,max,nulos,dtype
destination_port,24000.0,6722.492833333334,16529.521310483557,0.0,53.0,80.0,443.0,65501.0,0,float64
flow_duration,24000.0,20946128.121041667,37948202.70924514,0.0,198.0,92921.0,10283397.0,119998844.0,0,float64
total_fwd_packets,24000.0,21.04325,1415.0156670576202,1.0,2.0,3.0,6.0,166861.0,0,float64
total_backward_packets,24000.0,25.44575,1892.6460211646365,0.0,1.0,2.0,6.0,217022.0,0,float64
total_length_of_fwd_packets,24000.0,900.7632916666666,24416.32718563159,0.0,6.0,56.0,330.25,2321478.0,0,float64
total_length_of_bwd_packets,24000.0,47507.434166666666,4062263.5655847755,0.0,6.0,158.0,7375.0,475000000.0,0,float64
fwd_packet_length_max,24000.0,197.80504166666665,685.9547300624648,0.0,6.0,33.0,295.0,23360.0,0,float64
fwd_packet_length_min,24000.0,12.525791666666667,47.57670717642198,0.0,0.0,0.0,6.0,1472.0,0,float64
fwd_packet_length_mean,24000.0,50.691750500480886,175.8397415930993,0.0,6.0,30.0,50.876838235,5939.285714,0,float64
fwd_packet_length_std,24000.0,66.87047702207398,243.97405573411726,0.0,0.0,0.0,96.4786976725,5762.073497,0,float64
bwd_packet_length_max,24000.0,1665.9660833333332,2803.9058977067675,0.0,6.0,93.0,2089.25,17376.0,0,float64
bwd_packet_length_min,24000.0,27.693583333333333,58.85861624426067,0.0,0.0,0.0,6.0,1442.0,0,float64
bwd_packet_length_mean,24000.0,550.397328991863,859.2177286352455,0.0,6.0,81.05555555555,723.977678571425,4370.686524,0,float64
bwd_packet_length_std,24000.0,685.7455208720698,1234.2902112131449,0.0,0.0,0.0,761.64869340315,6715.738331,0,float64
flow_bytes_s,24000.0,854779.0989225568,19513486.918181498,0.0,119.50005835,2770.82941495715,103448.2759,2070000000.0,0,float64
flow_packets_s,24000.0,40627.46204510042,186563.8331999854,0.017245114,0.7445242365,48.478687445000006,18779.34272,3000000.0,0,float64
flow_iat_mean,24000.0,1932223.4641154886,4941511.403876865,0.0,85.0,30690.0,1742088.4167499999,116000000.0,0,float64
flow_iat_std,24000.0,5016775.247202544,10173873.63757653,0.0,0.0,23623.12047349895,3134124.777,81900000.0,0,float64
flow_iat_max,24000.0,16328901.574708333,32750604.297557436,0.0,160.0,75617.0,7862963.5,120000000.0,0,float64
flow_iat_min,24000.0,162805.31779166666,3071670.261018212,-11.0,3.0,4.0,59.0,116000000.0,0,float64
fwd_iat_total,24000.0,20579988.558833335,37933977.52319882,0.0,0.0,2040.0,9016297.5,120000000.0,0,float64
fwd_iat_mean,24000.0,3804078.702807927,10215118.681869043,0.0,0.0,989.0,2374102.52475,119731883.0,0,float64
fwd_iat_std,24000.0,6241936.964765221,13282311.202054083,0.0,0.0,291.3279938,3311265.84625,67700000.0,0,float64
fwd_iat_max,24000.0,16182574.25975,32818142.50056538,0.0,0.0,1852.5,6743325.0,120000000.0,0,float64
fwd_iat_min,24000.0,977482.47025,8655740.234955005,0.0,0.0,3.0,72.0,119731883.0,0,float64
bwd_iat_total,24000.0,10409140.557416666,29032520.078332525,0.0,0.0,4.0,281596.5,120000000.0,0,float64
bwd_iat_mean,24000.0,1970706.3556211528,8934145.632068872,0.0,0.0,4.0,54867.875,119626102.0,0,float64
bwd_iat_std,24000.0,2212524.6949735344,8216141.663080559,0.0,0.0,0.0,64173.1551075,77800000.0,0,float64
bwd_iat_max,24000.0,6300514.553875,21197280.36054429,0.0,0.0,4.0,200514.5,119626102.0,0,float64
bwd_iat_min,24000.0,866970.285875,8032970.885865521,0.0,0.0,3.0,47.0,119626102.0,0,float64
fwd_psh_flags,24000.0,0.04041666666666666,0.19693850754625242,0.0,0.0,0.0,0.0,1.0,0,float64
fwd_urg_flags,24000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,float64
fwd_header_length,24000.0,485.395875,29664.762132563792,0.0,40.0,72.0,172.0,3469256.0,0,float64
bwd_header_length,24000.0,559.0942083333333,37865.86258035228,0.0,20.0,40.0,168.0,4340440.0,0,float64
fwd_packets_s,24000.0,32416.0222202861,171253.12311203353,0.0,0.5480651135,22.198543800000003,9852.216749,3000000.0,0,float64
bwd_packets_s,24000.0,8211.399141903654,44393.821339370494,0.0,0.071896268,9.3520043085,4366.812227,1000000.0,0,float64
min_packet_length,24000.0,11.08525,21.99133275976446,0.0,0.0,0.0,6.0,1306.0,0,float64
max_packet_length,24000.0,1728.1183333333333,2841.030417264755,0.0,6.0,101.0,2836.0,23360.0,0,float64
packet_length_mean,24000.0,282.3717617688334,416.6949676221475,0.0,6.0,61.33333333,414.49624059079997,2336.0,0,float64
packet_length_std,24000.0,545.0130396144704,897.4688315303766,0.0,2.309401077,31.6513458214,735.697153125,4380.487987,0,float64
packet_length_variance,24000.0,1102376.2519459866,2487081.02187567,0.0,5.333333333,1001.8076923077,541250.3042,19200000.0,0,float64
fin_flag_count,24000.0,0.05420833333333333,0.22643305028377908,0.0,0.0,0.0,0.0,1.0,0,float64
syn_flag_count,24000.0,0.04041666666666666,0.19693850754625242,0.0,0.0,0.0,0.0,1.0,0,float64
rst_flag_count,24000.0,8.333333333333333e-05,0.009128519100403371,0.0,0.0,0.0,0.0,1.0,0,float64
psh_flag_count,24000.0,0.3880416666666667,0.4873142993985731,0.0,0.0,0.0,1.0,1.0,0,float64
ack_flag_count,24000.0,0.32925,0.4699506779811993,0.0,0.0,0.0,1.0,1.0,0,float64
urg_flag_count,24000.0,0.07270833333333333,0.25966255208878714,0.0,0.0,0.0,0.0,1.0,0,float64
cwe_flag_count,24000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,float64
ece_flag_count,24000.0,0.000125,0.011179874010886144,0.0,0.0,0.0,0.0,1.0,0,float64
down_up_ratio,24000.0,0.6869166666666666,0.6466551758939305,0.0,0.0,1.0,1.0,7.0,0,float64
average_packet_size,24000.0,311.78470439068775,456.73611017362475,0.0,7.2,77.75,452.43707482499997,2595.555556,0,float64
avg_fwd_segment_size,24000.0,50.691750500480886,175.8397415930993,0.0,6.0,30.0,50.876838235,5939.285714,0,float64
avg_bwd_segment_size,24000.0,550.3973289919463,859.2177286353515,0.0,6.0,81.05555555555,723.977678571425,4370.686524,0,float64
fwd_header_length_1,24000.0,485.395875,29664.762132563792,0.0,40.0,72.0,172.0,3469256.0,0,float64
subflow_fwd_packets,24000.0,21.04325,1415.0156670576202,1.0,2.0,3.0,6.0,166861.0,0,float64
subflow_fwd_bytes,24000.0,900.7632916666666,24416.32718563159,0.0,6.0,56.0,330.25,2321478.0,0,float64
subflow_bwd_packets,24000.0,25.44575,1892.6460211646365,0.0,1.0,2.0,6.0,217022.0,0,float64
subflow_bwd_bytes,24000.0,47497.201291666664,4061348.8369336613,0.0,6.0,158.0,7375.0,475054535.0,0,float64
init_win_bytes_forward,24000.0,8109.808875,13913.556645044706,-1.0,0.0,274.0,8192.0,65535.0,0,float64
init_win_bytes_backward,24000.0,1921.6130416666667,8078.535734940198,-1.0,-1.0,0.0,235.0,65535.0,0,float64
act_data_pkt_fwd,24000.0,11.12525,1038.9333289878089,0.0,0.0,1.0,3.0,159735.0,0,float64
min_seg_size_forward,24000.0,26.158791666666666,6.798743964506203,0.0,20.0,24.0,32.0,56.0,0,float64
active_mean,24000.0,96743.77650290294,668613.9082412765,0.0,0.0,0.0,6.0,28700000.0,0,float64
active_std,24000.0,37237.286502646304,403989.0518947347,0.0,0.0,0.0,0.0,26300000.0,0,float64
active_max,24000.0,153920.87725,983154.2722427931,0.0,0.0,0.0,6.0,47300000.0,0,float64
active_min,24000.0,74381.62970833333,577597.1685009922,0.0,0.0,0.0,6.0,21900000.0,0,float64
idle_mean,24000.0,15045228.08974503,31939013.973514777,0.0,0.0,0.0,6742400.25,119594809.0,0,float64
idle_std,24000.0,926728.9546153767,6443851.425522364,0.0,0.0,0.0,0.0,64300000.0,0,float64
idle_max,24000.0,15747342.622583333,32851832.367071033,0.0,0.0,0.0,6763629.5,119594809.0,0,float64
idle_min,24000.0,14358478.086458333,31703750.84315381,0.0,0.0,0.0,5870829.5,119594809.0,0,float64
