destination_port,flow_duration,total_fwd_packets,total_backward_packets,total_length_of_fwd_packets,total_length_of_bwd_packets,fwd_packet_length_max,fwd_packet_length_min,fwd_packet_length_mean,fwd_packet_length_std,bwd_packet_length_max,bwd_packet_length_min,bwd_packet_length_mean,bwd_packet_length_std,flow_bytes_s,flow_packets_s,flow_iat_mean,flow_iat_std,flow_iat_max,flow_iat_min,fwd_iat_total,fwd_iat_mean,fwd_iat_std,fwd_iat_max,fwd_iat_min,bwd_iat_total,bwd_iat_mean,bwd_iat_std,bwd_iat_max,bwd_iat_min,fwd_psh_flags,fwd_urg_flags,fwd_header_length,bwd_header_length,fwd_packets_s,bwd_packets_s,min_packet_length,max_packet_length,packet_length_mean,packet_length_std,packet_length_variance,fin_flag_count,syn_flag_count,rst_flag_count,psh_flag_count,ack_flag_count,urg_flag_count,cwe_flag_count,ece_flag_count,down_up_ratio,average_packet_size,avg_fwd_segment_size,avg_bwd_segment_size,fwd_header_length_1,subflow_fwd_packets,subflow_fwd_bytes,subflow_bwd_packets,subflow_bwd_bytes,init_win_bytes_forward,init_win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,active_mean,active_std,active_max,active_min,idle_mean,idle_std,idle_max,idle_min,label_multiclass,attack_family,label_binary,source_file
80.0,182871.0,3.0,6.0,26.0,11607.0,20.0,0.0,8.666666667,10.26320288,5840.0,0.0,1934.5,2538.919278,63613.14807,49.21502042,22858.875,64182.74123,181702.0,4.0,968.0,484.0,506.2884553,842.0,126.0,182761.0,36552.2,81142.19133,181702.0,4.0,0.0,0.0,72.0,132.0,16.40500681,32.81001362,0.0,5840.0,1163.3,2138.329153,4572451.567,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1292.555556,8.666666667,1934.5,72.0,3.0,26.0,6.0,11607.0,8192.0,229.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DDoS,DDoS,1,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv
80.0,11019.0,2.0,1.0,12.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,1089.028042,272.2570106,5509.5,7657.259333,10924.0,95.0,11019.0,11019.0,0.0,11019.0,11019.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,32.0,181.5046737,90.75233687,0.0,6.0,4.5,3.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,40.0,2.0,12.0,1.0,0.0,0.0,235.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS Hulk,DoS,1,Wednesday-workingHours.pcap_ISCX.csv
80.0,157590.0,3.0,5.0,26.0,11601.0,20.0,0.0,8.666666667,10.26320288,5840.0,0.0,2320.2,2436.833027,73780.06219,50.76464243,22512.85714,54078.60235,144783.0,48.0,12217.0,6108.5,7766.153778,11600.0,617.0,157483.0,39370.75,70497.94844,144783.0,159.0,0.0,0.0,72.0,112.0,19.03674091,31.72790152,0.0,5840.0,1291.888889,2110.95076,4456113.111,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1453.375,8.666666667,2320.2,72.0,3.0,26.0,5.0,11601.0,8192.0,229.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DDoS,DDoS,1,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv
80.0,85690161.0,7.0,6.0,329.0,11595.0,323.0,0.0,47.0,121.7251001,5792.0,0.0,1932.5,2181.008184,139.1524985,0.151709366,7140846.75,24700000.0,85500000.0,1.0,85600000.0,14300000.0,34900000.0,85500000.0,1.0,143376.0,28675.2,58006.59477,132097.0,46.0,0.0,0.0,220.0,200.0,0.081689659,0.070019707,0.0,5792.0,851.7142857,1667.329621,2779988.066,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,917.2307692,47.0,1932.5,220.0,7.0,329.0,6.0,11595.0,251.0,235.0,2.0,20.0,3018.0,0.0,3018.0,3018.0,85500000.0,0.0,85500000.0,85500000.0,DoS Hulk,DoS,1,Wednesday-workingHours.pcap_ISCX.csv
1657.0,3.0,2.0,0.0,12.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,4000000.0,666666.6667,3.0,0.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,666666.6667,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,6.0,0.0,40.0,2.0,12.0,0.0,0.0,123.0,-1.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN,BENIGN,0,Friday-WorkingHours-Morning.pcap_ISCX.csv
80.0,5649993.0,5.0,0.0,30.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,5.309741092,0.884956849,1412498.25,2823663.324,5647993.0,1.0,5649993.0,1412498.25,2823663.324,5647993.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.884956849,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.2,6.0,0.0,100.0,5.0,30.0,0.0,0.0,256.0,-1.0,4.0,20.0,2000.0,0.0,2000.0,2000.0,5647993.0,0.0,5647993.0,5647993.0,DDoS,DDoS,1,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv
22.0,1047.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3820.439351,349.0,519.6152423,949.0,49.0,1047.0,523.5,671.0443353,998.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,40.0,2865.329513,955.1098376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,3.0,0.0,1.0,0.0,29200.0,28960.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PortScan,PortScan,1,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv
80.0,100022879.0,6.0,7.0,337.0,11595.0,337.0,0.0,56.16666667,137.5796739,5792.0,0.0,1656.428571,2118.227235,119.292707,0.129970264,8335239.917,28800000.0,99900000.0,1.0,99900000.0,20000000.0,44700000.0,99900000.0,1.0,93552.0,15592.0,32858.76098,82074.0,46.0,0.0,0.0,200.0,232.0,0.059986276,0.069983988,0.0,5792.0,852.2857143,1665.757043,2774746.527,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,917.8461538,56.16666667,1656.428571,200.0,6.0,337.0,7.0,11595.0,274.0,235.0,1.0,32.0,5.0,0.0,5.0,5.0,99900000.0,0.0,99900000.0,99900000.0,DoS Hulk,DoS,1,Wednesday-workingHours.pcap_ISCX.csv
9998.0,44.0,1.0,1.0,2.0,6.0,2.0,2.0,2.0,0.0,6.0,6.0,6.0,0.0,181818.1818,45454.54545,44.0,0.0,44.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,20.0,22727.27273,22727.27273,2.0,6.0,3.333333333,2.309401077,5.333333333,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,2.0,6.0,24.0,1.0,2.0,1.0,6.0,1024.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PortScan,PortScan,1,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv
80.0,3006.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1996.007984,601.2,1340.970246,3000.0,1.0,3006.0,601.2,1340.970246,3000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.0,0.0,1996.007984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.0,6.0,0.0,0.0,0.0,251.0,-1.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS Hulk,DoS,1,Wednesday-workingHours.pcap_ISCX.csv
